account_name,symbol,asset_type,shares,purchase_price,total_cost,total_value
Public,SCHD,ETF,229.72436,27.37,6287.5557332,6285.26
Public,VXUS,ETF,59.15088,73.53,4349.3642064000005,4339.22
Public,VCIT,Bond,47.2925,84.58,3999.99965,3986.28
Public,GLDM,ETF,34.17634,73.15,2499.9992710000006,2493.85
Public,XBI,ETF,21.40869,93.42,1999.9998198,2050.31
Public,ICLN,ETF,134.4086,14.88,1999.9999680000003,2037.63
Public,VWO,ETF,36.99593,54.06,1999.9999758,2002.59
Public,VGSH,Bond,33.97893,58.86,1999.9998198,1999.66
Public,SCHP,Bond,73.80073,27.1,1999.999783,1992.92
Public,VNQ,ETF,16.18996,92.65,1499.999794,1490.12
Public,PZZA,Stock,21.34733,49.53,1057.3332549,1023.82
Public,SCHB,ETF,39.58951,24.63,975.0896312999998,1019.43
Public,NOK,Stock,175.58291,5.22,916.5427902,830.51
Public,VOO,ETF,1.3052,554.04,723.1330079999999,798.36
Public,GOOGL,Stock,1.82799,169.96,310.68518040000004,466.96
Public,META,Stock,0.47775,649.46,310.279515,370.89
Public,NVDA,Stock,2.05673,139.62,287.1606426,362.13
Public,AMZN,Stock,1.51897,207.38,315.0039986,352.02
Public,MSFT,Stock,0.59774,463.63,277.1301962,309.21
Public,VTI,ETF,0.93912,270.66,254.1822192,308.41
Public,TSLA,Stock,0.66638,315.14,210.0029932,283.54
Public,AAPL,Stock,1.09733,205.3,225.281849,269.6
Public,GLD,ETF,0.75906,305.64,231.9990984,257.5
Public,QQQ,ETF,0.40187,572.32,229.9982384,240.99
Public,ANET,Stock,1.10947,90.13,99.99653109999998,165.75
Public,AVGO,Stock,0.42577,212.51,90.4803827,146.84
Public,IAU,ETF,1.91695,62.6,120.00107,133.38
Public,SGOV,Bond,1.14506,100.43,114.9983758,115.22
Public,AMD,Stock,0.67408,133.52,90.00316160000001,105.86
Public,CRM,Stock,0.38284,261.96,100.2887664,94.63
Public,ADBE,Stock,0.22842,437.79,99.9999918,83.6
Public,BTF,ETF,4.21294,18.03,75.9593082,77.52
Public,CVX,Stock,0.47949,145.4,69.71784600000001,74.99
Public,KO,Stock,1.10295,69.53,76.68811350000001,73.45
Public,XOM,Stock,0.60151,95.04,57.167510400000005,67.97
Public,IVW,ETF,0.52575,75.89,39.8991675,63.41
Public,MO,Stock,0.92264,53.61,49.4627304,59.8
Public,PM,Stock,0.35724,135.76,48.4989024,58.19
Public,ABBV,Stock,0.25985,185.49,48.199576500000006,57.81
Public,EWJ,ETF,0.71328,67.48,48.132134400000005,57.65
Public,JNJ,Stock,0.30753,156.83,48.22992990000001,54.19
Public,BX,Stock,0.2866,141.97,40.688602,53.77
Public,MDT,Stock,0.56176,85.61,48.092273600000006,53.7
Public,DUK,Stock,0.42611,113.52,48.3720072,51.56
Public,SO,Stock,0.55363,87.13,48.2377819,50.93
Public,VZ,Stock,1.16311,42.34,49.2460774,50.67
Public,PSTG,Stock,0.55357,54.19,29.9979583,48.6
Public,WMB,Stock,0.79428,51.35,40.786278,48.05
Public,PNC,Stock,0.23001,177.95,40.9302795,47.27
Public,BRK.B,Stock,0.09038,442.58,40.0003804,44.57
Public,PEP,Stock,0.31357,152.88,47.9385816,44.5
Public,BAC,Stock,0.8464,38.84,32.874176000000006,44.21
Public,TXN,Stock,0.24455,196.07,47.9489185,43.77
Public,PEMEX,Bond,2000.0,0.9098,1819.6,2067.52
Public,BTC,Crypto,0.11464975,58700.0,6729.940325,12917.27
Public,ETH,Crypto,0.65333436,2689.0,1756.81609404,2744.54
Public,Cash_Public,Cash,,1.0,25687.33,25687.33
Robinhood Roth IRA,VTI,ETF,16.117,291.92,4704.874640000001,5275.51
Robinhood Roth IRA,ARKK,ETF,15.156,57.37,869.49972,1278.39
Robinhood Roth IRA,VUG,ETF,5.863,410.94,2409.34122,2802.74
Robinhood Roth IRA,GLD,ETF,3.95,297.37,1174.6115,1350.11
Robinhood Roth IRA,VIG,ETF,5.284,195.04,1030.59136,1144.45
Robinhood Roth IRA,VXUS,ETF,19.172,67.81,1300.05332,1404.94
Robinhood Roth IRA,SDY,ETF,9.193,131.38,1207.77634,1282.2
Robinhood Roth IRA,BND,Bond,27.664,72.3,2000.1072,2056.23
Robinhood Roth IRA,IBIT,Crypto,1.699,58.87,100.02013,108.55
Robinhood Roth IRA,Cash_RothIRA,Cash,,1.0,60.23,60.23
Robinhood Investing,TSLA,Stock,28.022,190.77,5345.75694,12040.09
Robinhood Investing,NFLX,Stock,5.0,515.38,2576.9,6112.9
Robinhood Investing,NVDA,Stock,40.015,111.62,4466.4743,7011.42
Robinhood Investing,MGNI,Stock,152.759,16.95,2589.2650499999995,3991.57
Robinhood Investing,VOO,ETF,8.307,486.13,4038.28191,5067.91
Robinhood Investing,ARKF,ETF,24.0,20.58,493.92,1368.48
Robinhood Investing,IVW,ETF,26.092,87.39,2280.17988,3140.18
Robinhood Investing,GRAB,Stock,366.84,4.71,1727.8164,2336.77
Robinhood Investing,UBER,Stock,11.0,44.4,488.4,1077.12
Robinhood Investing,AAPL,Stock,5.022,134.74,676.6642800000001,1231.06
Robinhood Investing,MSFT,Stock,2.015,276.34,556.8251,1038.86
Robinhood Investing,VTI,ETF,4.224,249.48,1053.80352,1382.72
Robinhood Investing,DUOL,Stock,2.0,150.22,300.44,580.04
Robinhood Investing,DVYA,ETF,30.171,35.82,1080.72522,1263.87
Robinhood Investing,DRIV,ETF,17.336,20.28,351.57408,484.89
Robinhood Investing,BOTZ,ETF,10.024,27.08,271.44992,354.06
Robinhood Investing,SMH,ETF,1.004,236.17,237.11468,316.12
Robinhood Investing,GLD,ETF,1.087,275.88,299.88156,371.77
Robinhood Investing,VWO,ETF,4.279,40.15,171.80185,231.13
Robinhood Investing,VONG,ETF,2.008,93.29,187.32632,242.6
Robinhood Investing,VXUS,ETF,4.109,61.94,254.51146,301.11
Robinhood Investing,RDVY,ETF,3.036,57.6,174.8736,203.74
Robinhood Investing,VEA,ETF,0.367,45.41,16.66547,21.83
Robinhood Investing,BND,Bond,0.405,70.74,28.6497,30.13
Robinhood Investing,DIV,ETF,21.26,17.66,375.4516,375.88
Robinhood Investing,SDIV,ETF,7.721,35.72,275.79412,184.76
Robinhood Investing,RIVN,Stock,184.829,19.07,3524.68903,2644.9
Robinhood Investing,ALB,Stock,19.315,133.37,2576.0415500000004,1583.42
Robinhood Investing,BTC,Crypto,0.0095584,104625.25,1000.0499896,1075.78
Robinhood Investing,Cash_Investing,Cash,,1.0,11138.55,11138.55
Navia HSA,VTSAX,Stock/ETF,55.57,160.56,8922.3192,8922.32
Navia HSA,VEMAX,International,33.188,44.83,1487.81804,1487.82
Navia HSA,VTMGX,International,74.487,19.27,1435.36449,1435.36
Navia HSA,MKDVX,Stock/ETF,67.338,21.14,1423.52532,1423.53
Navia HSA,VGSLX,Other,5.281,129.9,686.0019,686.0
Navia HSA,GOIXX,Bond,673.43,1.0,673.43,673.43
Fidelity CHIME,FDRXX,Bond,2191.42,1.0,2191.42,2191.42
Fidelity CHIME,FPADX,International,536.516,11.71,6284.5,7183.95
Fidelity CHIME,FSMDX,Stock/ETF,183.245,35.14,6439.57,6807.55
Fidelity CHIME,FSPGX,Stock/ETF,408.997,38.9,15911.84,18740.24
Fidelity CHIME,FSPSX,International,194.786,55.88,10884.38,11636.52
Fidelity CHIME,FSRNX,Other,134.148,16.32,2189.02,2251.0
Fidelity CHIME,FSSNX,Stock/ETF,236.929,27.92,6614.79,7304.52
Fidelity CHIME,FXAIX,Stock/ETF,149.917,209.52,31410.37,34755.26
Fidelity CHIME,FXNAX,Bond,1057.361,10.3,10895.35,11186.88
Fidelity CHIME,JGSMX,Stock/ETF,295.737,22.22,6571.59,6943.9
Fidelity CHIME,RPTTX,Stock/ETF,127.296,49.01,6238.59,6736.5
Fidelity Individual,AMZN,Stock/ETF,138.0,164.18,22657.48,30457.98
